vang_02uk: 226 utterances, 3403 original words, 3443 normalized words
vang_03gm: 248 utterances, 4199 original words, 4243 normalized words
vang_04gk: 244 utterances, 4108 original words, 4116 normalized words
vardoe_01um: 387 utterances, 5128 original words, 5210 normalized words
vardoe_02uk: 464 utterances, 8445 original words, 8571 normalized words
vardoe_03gm: 503 utterances, 7004 original words, 7032 normalized words
vardoe_04gk: 630 utterances, 11692 original words, 11728 normalized words
vegaarshei_01um: 318 utterances, 4529 original words, 4551 normalized words
vegaarshei_02uk: 398 utterances, 6804 original words, 6837 normalized words
vegaarshei_03gm: 223 utterances, 3199 original words, 3209 normalized words
vegaarshei_04gk: 199 utterances, 3344 original words, 3344 normalized words
vennesla_01um: 289 utterances, 3991 original words, 4015 normalized words
vennesla_02uk: 290 utterances, 2951 original words, 2957 normalized words
vennesla_03gm: 267 utterances, 3708 original words, 3720 normalized words
vennesla_04gk: 256 utterances, 2654 original words, 2692 normalized words
vestre_slidre_03gm: 235 utterances, 2277 original words, 2299 normalized words
vestre_slidre_04gk: 299 utterances, 3230 original words, 3234 normalized words
vinje_01um: 158 utterances, 1752 original words, 1764 normalized words
vinje_04gk: 192 utterances, 3672 original words, 3674 normalized words
vinje_05um: 180 utterances, 2474 original words, 2476 normalized words
vinje_08gk: 156 utterances, 2790 original words, 2804 normalized words
volda_01um: 222 utterances, 3753 original words, 3757 normalized words
volda_02uk: 194 utterances, 3029 original words, 3045 normalized words
